wavelength (nm),y reading,,
667.8,7.41,,
587.6,8.76,,
501.6,11.4,,
492.2,11.82,,
471.3,12.89,,
447.1,14.46,,
,,,
,,,
wavelength,y,f(wavelength),chi-s term
656.3,7.53,7.972130705,7819.182406
486.1,12.13,11.69095452,7710.437244
434,14.55,14.53918919,4.674945215
410.2,15.5,16.63542673,51567.75447
667.8,7.41,7.840440021,7411.144466
587.6,8.76,8.968037135,1731.177986
501.6,11.4,11.10927644,3380.807584
492.2,11.82,11.45160039,5428.730966
471.3,12.89,12.33718295,12224.26778
447.1,14.46,13.6496586,26266.12757
,,,123544.3054
,,reduced chi s,15443.03818
